영화 이름,개봉년도,관람객 평점,평론가 평점,네티즌 평점,평가한 네티즌 수
툼 레이더,2001,nan,nan,6.91,296
레저렉션 2,2001,nan,nan,6.85,20
스위트 노벰버,2001,nan,nan,7.16,243
기프트,2001,nan,nan,7.33,137
멕시칸,2001,nan,nan,7.14,94
오 그레이스,2001,nan,nan,8.46,59
베가 번스의 전설,2001,nan,nan,7.92,60
비밀의 화원,2001,nan,nan,8.05,66
남과 여,2001,nan,nan,10,4
하나코,2001,nan,nan,7,124
게임 오버,2001,nan,nan,7,3
키스 오브 드래곤,2001,nan,nan,8.59,375
그레이 올,2001,nan,nan,4.33,6
에이 아이,2001,9,nan,9.31,4566
수쥬,2001,nan,nan,8.74,19
교도소 월드컵,2001,nan,nan,5.18,120
뉴스데스크,2001,nan,nan,5.33,3
차례로 익사시키기,2001,nan,nan,6.33,9
투발루,2001,nan,nan,8,6
센터 오브 월드,2001,nan,nan,6.65,20
리멤버 타이탄,2001,nan,nan,9.24,1783
아메리칸 파이 2,2001,nan,nan,7.99,156
히로시마 내 사랑,2001,nan,nan,7.52,48
어글리 우먼,2001,nan,nan,7.75,32
빨간 피터의 고백,2001,nan,nan,0,0
유 캔 카운트 온 미,2001,nan,nan,8.66,61
러브 앤 섹스,2001,nan,nan,8.25,32
세븐 데이 투 리브,2001,nan,nan,5,21
맥클로드의 딸들,2001,nan,nan,0,0
외출,2001,nan,nan,7,3
방콕 데인저러스,2001,nan,4,7.75,20
물랑 루즈,2001,9.25,nan,9.05,2483
엑시트 운즈,2001,nan,nan,7.09,66
사국,2001,nan,nan,5.45,29
순정,2001,nan,nan,0,0
아모레스 페로스,2001,nan,nan,8.73,305
봄날은 간다,2001,9.31,nan,9.14,2486
소친친,2001,nan,nan,8.41,49
극장판 포켓몬스터2: 루기아의 탄생,2001,nan,nan,8.57,69
여인천하,2001,nan,nan,9.39,66
푸른 안개,2001,nan,nan,9.77,13
가디언,2001,nan,nan,6.67,3
